address,balance
rUUUVUR3DtFTMxgj6hYKKArVJseWj2LRms,100000000
ra7NvAVpDNRZHRJPLGPhtJLu6JFuNU9SKN,100000000
rP28dNgr3VNJEwUuhir7FAKdhaHYmqXZbv,100000000
rUGpbjPxW9YTcV8hqmBBniabhJA9qrV38b,100000000
r472bqVsHYc5dDXq3F7CCMKr71nX6siTHz,100000000
r4kkChbnu9UNDoXMa7tkRe2qNzpyn9vV8B,100000000
r4cfG2afiujJTNywu8eN6nELsu6WbfMyrv,100000000
rH6FHwfVhLYFnYJR7e2k4owCKqaUydmN4Y,100000000
rDKxLbxGK7w2HHvZ2ydSTspR7N2a695D26,100000000
r6NuDiJzcRSLEmC11fd5tH27VSYoXQbrm,100000000
rfTKpvVCExkM4H2Czohae21nqZiKW1S9C9,100000000
rBMZnUnesSFNCFyWiWWskdsqnBvnRb3yCm,100000000
rDgi3mPissRaEhLPpV6gL7Jm7jrQ8rAK3r,100000000
rPsanHJ6RHycNeo8BPYSZtrgMCCmzaaZhK,100000000
r47HEuDfWd62yRagtd1GPL3PCQyc8pWAfs,100000000
rnk2YFcRPujZj2zHLqnCtxyeVz3EQYpxrF,100000000
rQHePi5VuyFiAgpE3S9jzMKzhjPswhCsBx,100000000
rELRNNtPPEzRdhGcKQ9xYRs4fBdiJmEX4S,100000000
rnfWkPr1mnbHk6H5Smhp4eBFLGUVk7ANUt,100000000
rHf1yUv3XD4Bc2sLgucoiHbX5gQBsX4RhW,100000000
rwfgYwfW9X6Poxr8z96NuADWmgrxTEQ6yZ,100000000
rnk96HSHx3USdJRKUSvLoBgaDtNQtgGMSY,100000000
r9fkcCKp3VF6mA7yxmunKqts7v33h5NHVK,100000000
r3ucRHErE45Wz8yBdD9zyecCuSv4godseL,100000000
rpUGK7UjAAryz5XiRSv9jEMqFaJe1e85tL,100000000
rhTkqwLr4ZZ5jL54XaC2mTaN97vwM5BArS,100000000
rsGadhuccHp13xMiCSoR5dgSEkJ1X1L4cm,100000000.0000423
rnKwgJ37TWNBdSQNTzCKcTPtNvanNGjCyX,100000000.9704433
r4PaTAMqu3P5QTejVHXh7hDMC8QjoRZEt,100000001.402629
rsiJmkMimkdb5kZDtjtKPFiR8NYE7mbsVD,100000004.019305
rJ3ErNt8J1QNRJ7ddvymPEDbU4rtDZ7by3,100000089.8544167
rHeAWcv646LmQmYBTJ8f4RXTU8APCaWAxz,100000608.683048
rncqBnuj3JS5YxxJnpZEtoqqTbsFwSo3TB,100000611.9264702
r3ynyE46JzA8B91sGHM4nwcqQRf55wLvYn,100001083.7438423
rHhLfAuTkcG8FQVhZ5kq4AQB6P3eo7Tcyq,100004940.5263608
rajQGCYdTV5wBEaDcCk1YAtLQNnyXKGFhU,100018684.7375014
rDkxC64W5RjokfzvrcWd1ABjRX3jDYy78b,100022167.4876847
rJ2eYsdeUZmusSeD64R3gR4PSSm65y5Qe8,100022167.4876847
rhnEW2ZyhkCpdGd5Qo71yowWhEafgTgGSh,100025920.939792
rs1woordVhMDHYkjJCk43TUxpauWYLc54X,100046439.1798029
rGfqd9VKYvjkZzCchJH8GZcVbU8iw3dN2E,100048735.395
rEDjqEh8und9zLW9tY3GnXAUMzjNKsm7Eb,100074281.1926754
rD7ssRFxd6BXphy9vdRGFYNvUKUL21ePrL,100078981.9416098
rHwzpRNb9xJmfBLrGYFd4bRmXeigYixG8m,100085573.2923595
rJ5QjerkznBigx7Qxho5KTNroocm5EucBP,100088680.6032857
r4bkenPshDVpGRPtEJ3AhjEcpvVustSwnx,100093963.3433279
rnKDZ7qYJQqXGscPzTTeq1QmnXMWp7ZSoy,100098618.7192118
rfixdKKJNnVFVVH4vNfRWsunPoVPqgqwZF,100130000
r4YuXc2JeKrMYMyPfoKr69JiZLddNAwgfs,100135473.8939704
rsotongvR6LrYNyhPJoMB8KHzaAUz11DQR,100135964.845265
ra37FHLjkvJYNcK8bFekoQiGpFaX4ivHEK,100143696.2769403
rPQt6EMkSf6xRTLBZXTENVEtHPxW8FZrMf,100148414.05
rKNGRKAQo6MLRGtpB3tp3khUjZ4cHTbkjj,100155756.2169
rpJrTUP1ZutZjHUSVT1PBFnKrMM672iG26,100186336.42
rPULuRu58wpVaTFh1eFZ1XUdvaYipNWPNn,100188165.3364195
rKvMcdeieRwKzZyv7ec1VmJzwmPLuoEAMR,100197043.3497536
rUtAeKdd4PLg1o1aELABxCuyiLP9QwiDHj,100221324.3858579
rJQTrHKExfeCjschk5MGwPZuditZ8vdWnD,100277290.4773401
rGVV8kad8JXCdgPFiWy81G5uV5t1JBLjBc,100336762.2788777
rEzUwEZ2dWCRxa8cgMbteX6k1d47xFkzzy,100346794.0886699
razciyi3x7ZvGDewYTZiEEZL7WjFQ7KGWK,100428205.5334466
rp1YjX4M9vq3ARjZmoZB4hKiLWFS8ZkNg4,100492609.8522167
rUz19ENtBx8Z9pFtzuNsq5rZRoyucwB2YG,100492609.8522597
radgogyUKZuC8YkKchD27my5bz8gHrcr1e,100492629.5566502
rNuKUVJkjrbcFPgJpnaxuFwv3xz5wkf8A7,100518803.2
rPuhNvrHYnc7fAvTXMZYSkwW3v5aC2qMkW,100520127.5912774
rn59rc3d16d6FWxuXUbkEpL6NkWPfShUit,100522162.5498656
rGukoy161A8t5mvqfUx18HYpmnffuP4vdF,100522602.9654572
rKgTo1mv483XN3XFVTC2boWLYU3kEAsA9N,100559457.9995259
r3aSRQPhuadXgWuP5tW7R7oTL95tqh1xL8,100567615.2853645
rK7MiWoFSb7qAoA1BMJmtwTDd5Gb6Pv5Yw,100591132.0197044
rwCDbSXC2B8vWDkpqwn5UjrUn4uMs8e1Bo,100596161.0834323
ratsDisnGsFoD9DrAJAendRhpn6pDUtmMA,100633225.5911555
r4jjATqbHmwGwQvEr5THC1y33jUxYhsYKa,100810498
rwMWnZdEaXePoYWMtXMz86XhBbsrH1aLxQ,100824482.8685958
rpY6RArGWVJVmnBpFsEptFNxgPJ1LYNWfp,100853297.3704127
rHEik57ufZAQtYwHY7tZ9B3eq6YhessQVm,101000000
rBMZprPFefUgjHseB2iyLEsnetCGE6cCSP,101077831.0392965
rp9SifQSwqR6bGAJHXEzVaEHE8V2f544D6,101129845.0788938
r4JFTWht1oRyKi6bQnvymk9aat8ikocUd2,101223682.9883921
r3FNESi6MehQj9NVyJGuihYYvkQK5hz7pY,101313131
rwsGW85LHQTKPdqz988Qf55c9WexZWMnFt,101323599.6846339
rpBSM69Gm2gmrJgTkHsVmDRXsvrBczYqRq,101565044.9432551
