address,balance
rBUG6dy8rvn533LAdPWUXJ2N681bCGY4YA,1000000000
rMSe2MTZdhUwjjSUwZxBCVGsjmQrNrS4G7,1000000000
rhhV1PHPLGbgx1Z3v1wJQefdW68u7JhaYo,1000000000.864358
rJ2jeZvDyDRnDJPsEUw3rvN2wm6Bh3iHJA,1000000001.970443
rf4cCp3LioEf1ykssKfgRzhFahkKK3YZH6,1000000070.142933
rBRAPzpvjAN2NacZNZLykqUN4hoJo3CnrD,1000042069.098521
rUQzATuRj2eDmYfmqJ5XRpD6sPPXa9DoAJ,1000144170.443349
rnuNyckWUZn2TvpZMFYNWKhEgW4CKAHZCr,1000176177.780219
rQLUpHe77Gn4sYFj2CaRPSGWbdMKQRFNm3,1000226698.522167
rntousvMKf8ZTKoXcJVQcH1rtVJC5p4Hru,1000273043.225515
rM7kLogVPw2nXGrXRLYBnBFNLQNCPkz9DK,1000758021.26985
rUv4X1NEcqA6rtnd8DjiYycSCDYVrn1Tc8,1000778851.943616
rPje7hWMP46DUFiNVduGvTyipSRRHffazD,1000813984.79707
r9wLzYZJWi2SJ11FqquGjjnEA9U2D2S9NJ,1000985220.689655
rB6UMvRK5bL55AVRk7gx83tHAUwY9ChBhH,1001363118.558606
rf5ATLvMuvLexwKrpY2BQeY1GE5yn8f6qR,1001970541.871921
r42fubUuQocRobQ4haFzvH8aXGLocJPcLf,1002463054.187192
rnxLuMUNPvcgYoSecaihz2DhJNor3iKcFw,1002711369.112692
rBYZXgzMGfnjhm3KYA6w1Jmd5M8nrwxHge,1002873621.988342
rLGaJf75FFFgPMSASgfVk48Yh3ncuHKRUh,1002955664.039408
rC3QKsxS59978ceAmGsSr5jJvMC6CcedQ,1003000298.797298
r3Uq3y1xSUku8Trj7XsP8s7vVcrJzfkT81,1004926107.389162
rUeLntBykE2fwBytCBQKyKEQpuH52YjkdB,1004926107.389162
r3HXwT1V86rNjgofsnMXZKhioryK2MCH4B,1004926107.389162
rfscjqwsyZMsVC51KTGbCt6cEwUZ3aS3RZ,1004926108.374384
rJv8rFbe3aoUNRRgJfhk9AKHBGfhZ1hGXd,1004926108.374384
rJTtgYBjXwLGpuSBSpYR1i6wYPg7Ch4Dz2,1004926108.374384
rPBkXMHDcx2X9MKYKYrqffdQ9Y9ybRDGDm,1004926108.374384
rhfNhB7fmnGoeTXmkZEhHoiB6MuRBktEtC,1004926108.374384
rnf17CXiD9fx7rbm62y4M8HfEzGF5FemrJ,1004926108.374384
r9WeakSNFvJ3nuqixoYsagWeVbdR8mCghr,1004926108.374384
rE7pgMsAdJjgiagCERQCJJWk5NJuYkb8XA,1004926108.374384
rPTWewLJsjTts8LpkArvN5s8w1nz1azDN4,1004926108.374384
rPYUdaRgYZ3fr4XYVkkjuwHd8pPihws941,1004926108.374384
